slno,gx,gy,gz,ax,ay,az
1,-2.854961832,3.030534351,10.92366412,-0.9523925781,-0.8728027344,0.1535644531
2,-3.65648855,-11.53435115,7.038167939,0.1376953125,0.0078125,0.08911132813
3,1.526717557,1.511450382,0.6030534351,0.109375,-1.375,-1.187988281
4,-0.4885496183,16.80152672,-23.00763359,-0.05541992188,-0.6811523438,-0.004150390625
5,-2.79389313,-2.160305344,-48.39694656,-0.556640625,-0.1340332031,0.1628417969
6,2.961832061,1.847328244,-0.6641221374,-1.382324219,-1.951416016,0.3056640625
7,-0.3129770992,0.4580152672,2.832061069,-0.8332519531,0.00048828125,-0.2561035156
8,-3.366412214,2.022900763,2.519083969,-0.255859375,-0.7856445313,0.6342773438
9,-5.290076336,-4.870229008,6.351145038,-1.288574219,2,0.1396484375
10,0.1526717557,4.717557252,-7.763358779,0.2416992188,-0.09643554688,-0.1286621094
11,-1.099236641,-11.55725191,-5.549618321,-0.1586914063,-0.8110351563,0.2868652344
12,-11.51908397,1.664122137,-19.41984733,-0.97265625,2,0.5529785156
13,-9.541984733,-4.076335878,13.12977099,-0.1687011719,0.1879882813,0.01782226563
14,20.48854962,7.503816794,7.93129771,0.1364746094,-0.2272949219,0.03295898438
15,-7.824427481,2.618320611,6.198473282,0.5705566406,-0.2180175781,0.93359375
16,-1.106870229,2.366412214,-10.01526718,-0.03588867188,-0.5561523438,0.1477050781
17,2.709923664,-0.1145038168,3.79389313,-0.6066894531,-0.4794921875,-0.3122558594
18,-12.73282443,-20.57251908,-12.64122137,-0.9709472656,-1.902099609,2
19,3.992366412,-4.564885496,-4.908396947,-0.8601074219,-0.6635742188,-1.319824219
20,17.19083969,-10.38931298,-4.580152672,0.4731445313,-0.004150390625,0.6774902344
21,1.717557252,-0.6106870229,0.3664122137,-0.02783203125,-0.6821289063,0.4421386719
22,2.213740458,-4.305343511,-0.5877862595,-0.6508789063,-1.113525391,0.3732910156
23,-0.5572519084,19.93129771,-32.16793893,-0.44140625,-0.8671875,-0.28125
24,1.885496183,-4.190839695,10.54198473,0.00537109375,-0.0537109375,0.046875
25,2.427480916,2.236641221,1.65648855,-0.5864257813,-0.5285644531,-0.1643066406
26,8.648854962,11.9389313,-3.809160305,-0.01538085938,-0.8208007813,-1.05859375
27,0.1832061069,-1.007633588,-0.3129770992,-0.6323242188,-0.8645019531,-0.1430664063
28,-2.198473282,1.694656489,-2.572519084,-0.5830078125,-0.6206054688,0.4545898438
29,-11.94656489,4.511450382,3.488549618,-1.016601563,-1.65625,1.126708984
30,2.641221374,-0.1679389313,5.160305344,2,-1.516113281,1.316894531
31,2.618320611,5.13740458,8.351145038,0.4899902344,-0.6345214844,-0.3908691406
32,-3.847328244,3.06870229,-0.7480916031,-0.03271484375,-1.163574219,0.1206054688
33,-11.00763359,3.595419847,-9.160305344,-0.0390625,-1.873535156,-0.1513671875
34,-9.198473282,-10.25954198,-6.778625954,-1.125,-0.6877441406,0.34375
35,-19.42748092,17.09160305,-10.51908397,-0.2026367188,-1.995605469,-1.870117188
36,-7.13740458,4.519083969,2.13740458,-0.03857421875,-0.8547363281,-0.2319335938
37,1.229007634,14.15267176,-4.259541985,-1.002441406,-1.676269531,-0.1967773438
38,9.145038168,8.27480916,-0.6183206107,0.08862304688,0.228515625,-0.2062988281
39,3.954198473,3.847328244,0.1755725191,-0.1030273438,-1.497802734,-0.00048828125
40,11.05343511,-6.022900763,6.251908397,0.6608886719,-1.072509766,-0.7036132813
41,4.824427481,0.2977099237,11.96946565,-0.8569335938,-0.96875,-0.4128417969
42,-0.8702290076,-3.580152672,-1,0.006103515625,-1.028320313,0.2670898438
43,2.328244275,-3.06870229,-6.259541985,-1.085449219,-1.474365234,0.19921875
44,-8.977099237,4.65648855,4.564885496,-0.080078125,-0.3151855469,1.5625
45,6.648854962,3.129770992,3.381679389,-0.1516113281,2,-0.8176269531
46,7.335877863,-8.20610687,-6.954198473,-0.3046875,-0.3288574219,-0.09204101563
47,0.8549618321,-3.419847328,1.152671756,-0.3806152344,0.1418457031,-0.3662109375
48,10.4351145,-0.7099236641,4.129770992,-0.4677734375,-0.4975585938,-0.2854003906
49,15.10687023,7.526717557,17.3129771,-0.4465332031,2,-1.604736328
50,-12.41984733,10.26717557,2.358778626,-0.6501464844,-1.803466797,0.2314453125
51,2.503816794,-5.236641221,-1.152671756,-0.3820800781,-1.029052734,-0.04833984375
52,-6.458015267,-2.061068702,-0.2442748092,-0.2890625,-0.6237792969,0.6274414063
53,-10.63358779,16.61832061,-7.015267176,-0.671875,-1.991210938,0.5456542969
54,-6.190839695,2.633587786,-4.20610687,-0.5043945313,-0.837890625,0.4677734375
55,-0.7251908397,0.5114503817,-0.2442748092,-0.5258789063,-0.8308105469,-0.02685546875
56,-1.618320611,3.305343511,0.6564885496,0.03344726563,-1.786621094,0.0673828125
57,-19.98473282,1.503816794,-0.4732824427,-0.6044921875,2,-0.9689941406
58,3.236641221,1.27480916,1.175572519,-0.2453613281,-0.2961425781,1.092529297
59,-0.1679389313,-4.297709924,-0.9541984733,0.0341796875,-1.28125,-0.5163574219
60,10,-2.72519084,-2.625954198,-0.1987304688,-1.253173828,-0.2529296875
61,8.908396947,-1.015267176,0.9007633588,-0.01318359375,-0.2075195313,-0.1733398438
62,-6.549618321,4.015267176,1.312977099,-0.3190917969,-1.703613281,0.1096191406
63,9.015267176,-4.091603053,-3.671755725,-0.18359375,0.1274414063,-0.3115234375
64,1.305343511,-0.2671755725,2.854961832,-0.5480957031,-0.6223144531,-0.1918945313
65,2.801526718,5.41221374,-9.977099237,-0.3706054688,-1.300048828,-0.5163574219
66,2.824427481,-1.786259542,-7.854961832,0.1484375,0.6806640625,-0.1594238281
67,-17.48854962,0.0534351145,6.923664122,-0.5258789063,-1.163574219,0.5344238281
68,-17.10687023,4.86259542,11.45038168,-0.1965332031,-1.290527344,-0.2419433594
69,-6.419847328,3.877862595,9.977099237,0.01416015625,0.02612304688,0.7941894531
70,1.030534351,-11.19083969,1.534351145,-1.495117188,2,0.7360839844
71,7.099236641,0.007633587786,1.595419847,-0.4504394531,-0.9086914063,-0.4829101563
72,-27.20610687,18.72519084,4.267175573,-0.2346191406,-0.3898925781,-0.1540527344
73,-0.1832061069,3.122137405,-1.213740458,-0.5517578125,-0.6193847656,-0.1948242188
74,3.816793893,-2.877862595,-10.3129771,0.7756347656,0.04272460938,0.1176757813
75,18.63358779,-7.221374046,0.4885496183,0.3850097656,-0.8051757813,-0.80859375
76,-7.702290076,2.27480916,-0.6641221374,0.5871582031,-1.331054688,1.391357422
77,5.183206107,-17.61832061,14.59541985,0.22265625,-0.2817382813,-0.1181640625
78,1.923664122,0.9007633588,0.1526717557,-0.04467773438,-0.9685058594,0.1828613281
79,-10.84732824,-3.816793893,-4.458015267,-0.5693359375,2,0.3083496094
80,-0.4045801527,7.465648855,14.29007634,-0.2819824219,-0.841796875,0.06469726563
81,5.122137405,1.618320611,7.580152672,-0.01391601563,-0.2302246094,-0.2307128906
82,-0.3969465649,-3.099236641,2.099236641,-0.4384765625,-1.175048828,0.009033203125
83,-0.6183206107,0.2442748092,-3.58778626,-0.8813476563,-0.9487304688,0.1533203125
84,20.25954198,-9.709923664,6.091603053,-0.3745117188,-1.470703125,-0.3371582031
85,10.33587786,1.251908397,12.13740458,0.4291992188,-0.8498535156,0.3903808594
86,9.183206107,-4.687022901,12.67938931,-0.1237792969,-0.044921875,-0.04321289063
87,-0.5114503817,-3.259541985,-2.877862595,-0.2619628906,-1.239013672,0.2795410156
88,5.34351145,-14.34351145,6.282442748,-0.03881835938,0.169921875,-0.03881835938
89,0.9465648855,4.671755725,4.992366412,-0.4296875,-0.6254882813,0.427734375
90,-8.213740458,11.76335878,11.47328244,-0.3332519531,-0.2678222656,0.3593139648
91,6.480916031,-8.763358779,4.755725191,-0.16796875,-0.1511230469,-0.2395019531
92,3.450381679,2.961832061,2.183206107,-0.2614746094,-0.06860351563,0.06616210938
93,-1.595419847,-3.213740458,-0.4580152672,0.1203613281,-1.112792969,0.06176757813
94,6.366412214,2.618320611,20.55725191,0.03759765625,0.2495117188,-0.3549804688
95,5.595419847,10.12977099,-6.809160305,0.02587890625,-0.7084960938,0.5126953125
96,-5.916030534,-3.106870229,13.45038168,0.04248046875,-0.6789550781,-0.1018066406
97,-5.145038168,11.19083969,-3.312977099,-0.2104492188,2,0.5454101563
98,-11.77099237,-1.145038168,-5.541984733,-0.2160644531,2,0.2080078125
99,4.221374046,-7.41221374,6.091603053,-0.2573242188,-0.7458496094,0.1684570313
100,-0.6030534351,0.6564885496,0.3358778626,-0.5915527344,-0.7783203125,0.04150390625
101,2.305343511,-12.67938931,12.72519084,-0.1613769531,-0.01586914063,-0.2634277344
102,1.488549618,7.480916031,-3.977099237,-1.220947266,2,-0.2583007813
103,-15.83206107,-3.404580153,0.4427480916,-0.6608886719,2,1.986083984
